episode,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
25,239.709860491,5.0399999999999805,0.0,0.0,141.326273562,0.0,0.0,0.0,0.0,0.0,28.1820160489,0.0,0.0,0.0
26,239.704259091,5.0399999999999805,0.0,0.0,141.380051543,0.0,0.0,0.0,0.0,0.0,28.1899839261,0.0,0.0,0.0
27,239.707438069,5.0399999999999805,0.0,0.0,141.363671817,0.0,0.0,0.0,0.0,0.0,28.1811673462,0.0,0.0,0.0
28,239.72045029,5.0399999999999805,0.0,0.0,141.248792707,0.0,0.0,0.0,0.0,0.0,28.1617627952,0.0,0.0,0.0
29,239.724097927,5.0399999999999805,0.0,0.0,141.228196253,0.0,0.0,0.0,0.0,0.0,28.176077705,0.0,0.0,0.0
30,239.722303267,5.0399999999999805,0.0,0.0,141.239671867,0.0,0.0,0.0,0.0,0.0,28.1767094532,0.0,0.0,0.0
31,239.725150218,5.0399999999999805,0.0,0.0,141.201247984,0.0,0.0,0.0,0.0,0.0,28.1899774755,0.0,0.0,0.0
32,239.720719218,5.0399999999999805,0.0,0.0,141.253720612,0.0,0.0,0.0,0.0,0.0,28.1975181248,0.0,0.0,0.0
33,239.76646637,5.0399999999999805,0.0,0.0,140.885483274,0.0,0.0,0.0,0.0,0.0,28.1593844994,0.0,0.0,0.0
34,239.792141336,5.0399999999999805,0.0,0.0,140.725852072,0.0,0.0,0.0,0.0,0.0,28.1713701473,0.0,0.0,0.0
35,239.779745785,5.0399999999999805,0.0,0.0,140.817451413,0.0,0.0,0.0,0.0,0.0,28.1925780265,0.0,0.0,0.0
36,239.779544888,5.0399999999999805,0.0,0.0,140.805828011,0.0,0.0,0.0,0.0,0.0,28.1752427868,0.0,0.0,0.0
37,239.794565811,5.0399999999999805,0.0,0.0,140.701058338,0.0,0.0,0.0,0.0,0.0,28.1875479548,0.0,0.0,0.0
38,239.785903075,5.0399999999999805,0.0,0.0,140.753057173,0.0,0.0,0.0,0.0,0.0,28.1748946407,0.0,0.0,0.0
39,239.705514581,5.0399999999999805,0.0,0.0,141.35104035,0.0,0.0,0.0,0.0,0.0,28.1636522818,0.0,0.0,0.0
40,239.708555651,5.0399999999999805,0.0,0.0,141.33407379,0.0,0.0,0.0,0.0,0.0,28.1855471694,0.0,0.0,0.0
41,239.704021653,5.0399999999999805,0.0,0.0,141.358971894,0.0,0.0,0.0,0.0,0.0,28.1699857217,0.0,0.0,0.0
42,239.707425275,5.0399999999999805,0.0,0.0,141.344252486,0.0,0.0,0.0,0.0,0.0,28.1771345731,0.0,0.0,0.0
43,239.708375469,5.0399999999999805,0.0,0.0,141.323469314,0.0,0.0,0.0,0.0,0.0,28.1796486817,0.0,0.0,0.0
44,239.707235021,5.0399999999999805,0.0,0.0,141.344331274,0.0,0.0,0.0,0.0,0.0,28.1665079271,0.0,0.0,0.0
